Program,ArraySize,Compiler,Optimization,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Average
slow,1000000,polly,normalopt,0.0566307,0.0564602,0.0563004,0.0575081,0.0578218,0.0608829,0.0551743,0.0535572,0.0557475,0.0540487,
slow,10000000,gcc,o2,1.58654,1.59408,1.58155,1.58293,1.59144,1.58705,1.60635,1.58708,1.61663,1.59499,
slow,10000000,polly,interchanged,0.749043,0.750245,0.751114,0.746926,0.752642,0.748969,0.750813,0.748856,0.747052,0.746685,
slow,10000000,polly,interchanged+tiled,0.747483,0.748158,0.803696,0.766843,0.741066,0.740649,0.743445,0.738197,0.737842,0.740865,
slow,10000000,polly,interchanged+tiled+vector,0.748006,0.748191,0.746693,0.747614,0.749575,0.74345,0.747023,0.748594,0.747938,0.744222,
slow,10000000,polly,interchanged+tiled+vector+openmp,0.750726,0.747182,0.751912,0.757701,0.751351,0.747195,0.75542,0.745041,0.747026,0.743788,
slow,10000000,polly,normalopt,0.745172,0.749984,0.747024,0.749338,0.742557,0.74621,0.743587,0.741455,0.743322,0.745701,
slow,20000000,gcc,o2,4.13804,4.08343,4.05399,4.05186,4.10732,4.06097,4.06318,4.05137,4.05395,4.06398,
slow,20000000,polly,interchanged,2.35496,2.35311,2.34996,2.3652,2.35308,2.35612,2.38573,2.36243,2.35309,2.35509,
slow,20000000,polly,interchanged+tiled,2.34845,2.36894,2.35527,2.35155,2.34782,2.36055,2.37509,2.34744,2.3498,2.35021,
slow,20000000,polly,interchanged+tiled+vector,2.35526,2.35083,2.35038,2.40475,2.35238,2.36442,2.36332,2.40147,2.37612,2.43273,
slow,20000000,polly,interchanged+tiled+vector+openmp,3.0518,2.36178,2.36139,3.04888,3.04718,3.04608,3.04477,3.04664,2.77514,2.59969,
slow,20000000,polly,normalopt,2.35931,2.35178,2.42391,2.36254,2.35493,2.35551,2.41131,2.35288,2.35501,2.34973,
slow,30000000,gcc,o2,3.41031,3.43949,3.43529,3.47793,3.43803,3.413,3.42213,3.446,3.47493,3.47383,
slow,30000000,polly,interchanged,0.922537,0.916681,0.920047,0.916296,0.922947,0.919099,0.918664,0.917298,0.920096,0.923467,
slow,30000000,polly,interchanged+tiled,0.913946,0.909221,0.911314,0.909707,0.90791,0.906489,0.912672,0.910168,0.904864,0.91029,
slow,30000000,polly,interchanged+tiled+vector,1.03114,0.954305,0.915649,0.931339,0.91757,0.917798,0.913382,0.91598,0.926985,0.918024,
slow,30000000,polly,interchanged+tiled+vector+openmp,0.921759,0.917544,0.913164,0.948232,1.46226,0.956977,1.00411,0.918688,0.925458,0.916237,
slow,30000000,polly,normalopt,0.919449,0.912553,0.917803,0.909027,0.915715,0.913956,0.911914,0.908845,0.916232,0.921717,
slow,40000000,gcc,o2,11.7153,11.7867,11.6355,11.7608,12.0291,11.9451,12.2645,11.5941,11.588,11.7063,
slow,40000000,polly,interchanged,8.19388,8.32282,8.21527,8.20314,8.2349,8.20224,8.17413,8.2244,8.18434,8.34269,
slow,40000000,polly,interchanged+tiled,8.16654,8.33573,8.17976,8.25774,8.15857,8.30916,8.28108,8.22523,8.26897,8.26863,
slow,40000000,polly,interchanged+tiled+vector,8.21396,8.20553,8.23391,8.18216,8.27568,8.26466,8.17713,8.21369,8.27219,8.2432,
slow,40000000,polly,interchanged+tiled+vector+openmp,8.28815,8.20039,8.19529,8.20641,8.16667,8.17095,8.20633,8.24713,8.18234,8.23004,
slow,40000000,polly,normalopt,8.20094,8.18234,8.18662,8.2055,8.20135,8.36462,8.16826,8.19134,8.17611,8.18845,
slow,50000000,gcc,o2,8.21058,8.2418,8.10078,8.09311,8.20149,8.19333,8.0981,8.31031,8.23574,8.09561,
slow,50000000,polly,interchanged,3.98379,3.97247,3.97428,3.9925,3.96482,3.97389,3.98087,3.98243,3.9798,3.98727,
slow,50000000,polly,interchanged+tiled,4.07314,4.02356,3.99577,4.08741,3.98212,4.03074,4.03359,3.97232,4.03669,4.02238,
slow,50000000,polly,interchanged+tiled+vector,3.96798,3.99108,3.97711,3.97313,3.96624,3.97076,3.9642,4.06433,4.083,3.98466,
slow,50000000,polly,interchanged+tiled+vector+openmp,3.99671,4.04688,3.96037,3.96168,3.96216,3.96558,3.96615,4.05157,3.97134,3.96383,
slow,50000000,polly,normalopt,3.9758,3.97221,3.99235,3.98714,3.97101,3.96791,3.96628,3.96786,4.05614,3.98658,
