TestCase,Program,PollyOpt,Parameter,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Average
Reverse	copy_reduced C code	vector	100000000	1451497102	1470182352	1438748742	1431455788	1453586739	1424284137	1460071545	1428385791	1457059269	1431137345
Reverse	copy_reduced C code	vector	1000000000	3321439273	3317494205	3307125176	3326665290	3346746872	3337173158	3326538600	3309139157	3353938548	3306074844
Reverse	copy_reduced C code	vector	10000000000
Reverse	copy_reduced_dealloc C code	gcc	1000	4314940	4812409	5241062	4809424	5099653	5080179	4800472	4806091	4923193	5000162
Reverse	copy_reduced_dealloc C code	gcc	10000	5037193	4936240	5001251	5030281	4973707	5011961	4999721	5058888	4989700	4981983
Reverse	copy_reduced_dealloc C code	gcc	100000	6981341	7043163	6905244	7102631	7026073	6506929	5730010	7052504	6928450	7024864
Reverse	copy_reduced_dealloc C code	gcc	1000000	20422388	18978393	19065452	21074908	19590042	21241380	19418688	19784530	19646510	19130376
Reverse	copy_reduced_dealloc C code	gcc	10000000	145673828	146586998	146005567	151218000	147519548	146859686	146509257	147090961	145866499	147110894
Reverse	copy_reduced_dealloc C code	gcc	100000000	1456868591	1410971784	1516165962	1568777715	1533678933	1416830415	1469773759	1411356929	1455910132	1416690448
Reverse	copy_reduced_dealloc C code	gcc	1000000000	3336908315	3317813690	3314967313	3313734654	3346384990	3331364318	3304831965	3319463365	3302688378	3308268823
Reverse	copy_reduced_dealloc C code	gcc	10000000000
Reverse	copy_reduced_dealloc C code	polly	1000	5179174	5031255	5094748	4992170	4824642	4792217	5543703	4954833	4803573	5197966
Reverse	copy_reduced_dealloc C code	polly	10000	5527559	5095670	5403983	5397919	5283422	5004663	5035112	5012482	4902318	5039130
Reverse	copy_reduced_dealloc C code	polly	100000	7025548	6936823	6910744	6846806	6896275	7052219	6649801	5785904	6678776	6498050
Reverse	copy_reduced_dealloc C code	polly	1000000	19032698	19203598	20604284	19185144	19038752	20424300	19547544	20127924	19255271	19099749
Reverse	copy_reduced_dealloc C code	polly	10000000	145734339	147022417	148569270	152461519	153909595	147728720	147485470	154383705	162328353	179462961
Reverse	copy_reduced_dealloc C code	polly	100000000	1427034794	1443631826	1433875758	1433077077	1452400540	1427718414	1461839670	1439456340	1518770824	1608931939
Reverse	copy_reduced_dealloc C code	polly	1000000000	3315097163	3311762431	3340487224	3321159036	3318229771	3308547958	3325576676	3308735865	3316378636	3395747970
Reverse	copy_reduced_dealloc C code	polly	10000000000
